row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
baseline,,,,,,,0.265250176000336,,,0.14707692307692308,0.14972307692307688,0.14788461538461534,0.14747692307692306,0.3134461538461539,0.30223846153846157,0.22426153846153846,0.2213076923076923,0.13326153846153846,0.13818461538461538,0.21032307692307692,0.22280769230769223,0.2521846153846154,0.25454615384615387,0.18290769230769235,0.18006923076923073,0.265250176000336
baseline,1.0,81.461538,21.119658,1.0,81.46,21.12,38.61166908900032,0.0,,0.15098461538461538,0.15378461538461535,0.1567615384615385,0.1539,0.2068,0.1980692307692308,0.18503076923076928,0.18183846153846156,0.13583076923076923,0.14153846153846156,0.21850000000000003,0.22784615384615386,0.3130538461538462,0.3151461538461539,0.18224615384615384,0.1787461538461539,38.77568992800025
contact,1.0,81.461538,21.119658,1.0,81.46,21.12,38.61166908900032,1.1027,56.65180504199998,0.14237692307692312,0.14500000000000002,0.14158461538461536,0.14041538461538464,0.20829230769230767,0.1994692307692308,0.3087153846153846,0.3043692307692307,0.1348846153846154,0.13673076923076927,0.21999230769230774,0.23180769230769227,0.2585538461538462,0.2601230769230769,0.18476153846153848,0.18186923076923078,57.81550045299991
baseline,2.0,68.333333,26.62963,2.0,68.33,26.63,60.347351402000186,0.0,,0.1436153846153846,0.14629230769230775,0.1426,0.14207692307692305,0.23128461538461542,0.22143076923076924,0.32094615384615377,0.31820000000000004,0.14286153846153843,0.1493615384615385,0.22484615384615386,0.23161538461538458,0.24405384615384615,0.2457846153846154,0.1912538461538462,0.18752307692307693,60.41245016400035
contact,2.0,68.333333,26.62963,2.0,68.33,26.63,60.347351402000186,2.4907,69.69455445600033,0.14535384615384614,0.14807692307692305,0.1420307692307692,0.13943076923076922,0.21258461538461537,0.2099538461538461,0.2843923076923077,0.28208461538461543,0.1362615384615385,0.14125384615384615,0.21985384615384615,0.2272692307692308,0.1727692307692308,0.17611538461538462,0.18624615384615384,0.1852307692307692,70.7986769019999
baseline,3.0,86.384615,17.683761,3.0,86.38,17.68,73.81539406499996,0.0,,0.14279230769230772,0.14559999999999998,0.1407538461538462,0.14115384615384616,0.21956153846153845,0.20961538461538462,0.28522307692307697,0.2843615384615385,0.13826153846153846,0.14332307692307691,0.22216153846153844,0.23336153846153845,0.20254615384615388,0.20336153846153845,0.19547692307692308,0.1911076923076923,73.82703505400059
contact,3.0,86.384615,17.683761,3.0,86.38,17.68,73.81539406499996,3.3801,84.2600206850002,0.14002307692307692,0.14274615384615388,0.1366461538461539,0.13658461538461542,0.30473076923076925,0.29461538461538467,0.2910615384615385,0.28892307692307695,0.12633076923076925,0.12970769230769227,0.22596153846153846,0.23646923076923074,0.2044923076923077,0.20537692307692307,0.19685384615384618,0.19217692307692308,85.29440200200042
baseline,4.0,50.282051,26.94302,4.0,50.28,26.94,89.62531011200008,0.0,,0.14150769230769228,0.14439230769230774,0.14046153846153847,0.1387615384615385,0.2053384615384615,0.1959,0.39186153846153843,0.38713846153846154,0.13726153846153846,0.14230000000000004,0.22872307692307692,0.24010769230769233,0.1600923076923077,0.1615076923076923,0.18365384615384617,0.1795384615384615,89.83874331100014
contact,4.0,50.282051,26.94302,4.0,50.28,26.94,89.62531011200008,4.28,100.8241144829999,0.16718461538461535,0.1698538461538461,0.14422307692307695,0.13470769230769233,0.2303230769230769,0.2220461538461539,0.34680769230769226,0.345,0.14063076923076928,0.14544615384615384,0.22002307692307696,0.23143076923076922,0.16106923076923077,0.1628461538461539,0.1830384615384615,0.17923076923076925,101.9569275290005
baseline,5.0,76.538462,21.102564,1.0,76.54,21.1,105.52327103400056,0.0,,0.14449230769230773,0.1470923076923077,0.14220769230769228,0.14165384615384616,0.21676923076923077,0.20735384615384617,0.3634307692307693,0.36183846153846155,0.1384769230769231,0.14456153846153852,0.21963076923076919,0.2297153846153846,0.15754615384615384,0.15906153846153848,0.1824769230769231,0.17755384615384615,105.63513461999992
