row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_16,eit_17,eit_18,eit_19,eit_20,eit_21,eit_22,eit_23,eit_24,eit_25,eit_26,eit_27,eit_28,eit_29,eit_30,eit_31,eit_32,eit_33,eit_34,eit_35,eit_36,eit_37,eit_38,eit_39,eit_40,eit_41,eit_42,eit_43,eit_44,eit_45,eit_46,eit_47,eit_48,eit_49,eit_50,eit_51,eit_52,eit_53,eit_54,eit_55,eit_56,eit_57,eit_58,eit_59,eit_60,eit_61,eit_62,eit_63,eit_time_s
baseline,,,,,,,0.10766328099998645,,,0.141300000000,0.152500000000,0.146300000000,0.134600000000,0.138500000000,0.215500000000,0.151500000000,0.171200000000,0.147500000000,0.158200000000,0.152500000000,0.141000000000,0.144700000000,0.221100000000,0.156700000000,0.176600000000,0.139300000000,0.152100000000,0.143700000000,0.135500000000,0.140400000000,0.214600000000,0.147000000000,0.169200000000,0.132400000000,0.144100000000,0.135700000000,0.127000000000,0.131800000000,0.206800000000,0.138600000000,0.162100000000,0.129400000000,0.141000000000,0.132300000000,0.123800000000,0.128800000000,0.204400000000,0.136200000000,0.160300000000,0.140500000000,0.148900000000,0.142500000000,0.134500000000,0.139500000000,0.213800000000,0.142200000000,0.168900000000,0.151700000000,0.153800000000,0.153000000000,0.144300000000,0.149400000000,0.222900000000,0.146900000000,0.175200000000,0.153700000000,0.155100000000,0.154700000000,0.146200000000,0.151400000000,0.225000000000,0.149000000000,0.177100000000,0.10766328099998645
baseline,1,104.435897,14.794872,4.0,104.44,14.79,124.80122979299995,0,,0.140500000000,0.152000000000,0.146000000000,0.134300000000,0.140300000000,0.208300000000,0.151400000000,0.171200000000,0.146300000000,0.157100000000,0.151700000000,0.140000000000,0.145900000000,0.213500000000,0.156100000000,0.176000000000,0.139600000000,0.152400000000,0.144300000000,0.135900000000,0.142900000000,0.207900000000,0.147600000000,0.169700000000,0.132700000000,0.144200000000,0.136300000000,0.127500000000,0.134400000000,0.200200000000,0.139100000000,0.162600000000,0.132500000000,0.143900000000,0.135400000000,0.127100000000,0.134000000000,0.200400000000,0.140200000000,0.164200000000,0.194900000000,0.203400000000,0.196800000000,0.189300000000,0.196700000000,0.261800000000,0.199300000000,0.227300000000,0.152400000000,0.154600000000,0.153800000000,0.145100000000,0.152300000000,0.217000000000,0.148400000000,0.176600000000,0.154300000000,0.156000000000,0.155800000000,0.147100000000,0.154500000000,0.219300000000,0.150700000000,0.178600000000,124.81132924899975
contact,1,104.435897,14.794872,4.0,104.44,14.79,124.80122979299995,4.4018,146.863373227,0.141100000000,0.152800000000,0.146600000000,0.134700000000,0.141400000000,0.209900000000,0.158000000000,0.166700000000,0.147100000000,0.158100000000,0.152700000000,0.140700000000,0.147400000000,0.215400000000,0.163000000000,0.172000000000,0.139700000000,0.152800000000,0.144600000000,0.135800000000,0.143400000000,0.209700000000,0.156000000000,0.165900000000,0.132800000000,0.144700000000,0.136700000000,0.127300000000,0.135000000000,0.201900000000,0.147700000000,0.158200000000,0.130400000000,0.142000000000,0.133500000000,0.124500000000,0.132300000000,0.199800000000,0.145800000000,0.156100000000,0.484000000000,0.503800000000,0.532200000000,0.565500000000,0.617100000000,0.657500000000,0.689700000000,0.716400000000,0.152700000000,0.155100000000,0.154400000000,0.145200000000,0.153100000000,0.217600000000,0.157400000000,0.164400000000,0.154000000000,0.155600000000,0.155400000000,0.146300000000,0.154300000000,0.218900000000,0.158700000000,0.164800000000,147.91577350199987
baseline,2,102.794872,17.968661,2.0,102.79,17.97,149.75662498600013,0,,0.140900000000,0.152900000000,0.146700000000,0.134700000000,0.141700000000,0.210100000000,0.156200000000,0.178700000000,0.147100000000,0.158200000000,0.152700000000,0.140700000000,0.147500000000,0.215500000000,0.161200000000,0.183700000000,0.140100000000,0.153600000000,0.145300000000,0.136500000000,0.144200000000,0.210500000000,0.154000000000,0.179000000000,0.133700000000,0.145800000000,0.137600000000,0.128400000000,0.136200000000,0.203200000000,0.146400000000,0.172600000000,0.133700000000,0.145900000000,0.137300000000,0.128500000000,0.136800000000,0.203600000000,0.147900000000,0.175200000000,0.577200000000,0.602700000000,0.527000000000,0.453900000000,0.239800000000,0.577000000000,0.423300000000,0.261300000000,0.153000000000,0.155600000000,0.154600000000,0.145800000000,0.154100000000,0.220400000000,0.156100000000,0.187200000000,0.155700000000,0.157800000000,0.157300000000,0.148500000000,0.156900000000,0.223300000000,0.159000000000,0.190000000000,149.77983801499977
contact,2,102.794872,17.968661,2.0,102.79,17.97,149.75662498600013,2.084,160.40160202100014,0.140000000000,0.148100000000,0.145900000000,0.135700000000,0.147200000000,0.218000000000,0.156000000000,0.140500000000,0.145900000000,0.153400000000,0.151700000000,0.141600000000,0.152900000000,0.223300000000,0.160900000000,0.145600000000,0.139700000000,0.149300000000,0.144900000000,0.138000000000,0.150300000000,0.217700000000,0.153300000000,0.132700000000,0.133600000000,0.142000000000,0.137700000000,0.130200000000,0.142500000000,0.210000000000,0.145200000000,0.122800000000,0.131700000000,0.139900000000,0.135200000000,0.128000000000,0.140500000000,0.208200000000,0.144000000000,0.118700000000,0.505000000000,0.594500000000,0.659900000000,0.698200000000,0.738200000000,0.741400000000,0.738900000000,0.736700000000,0.153100000000,0.151700000000,0.154900000000,0.147300000000,0.160100000000,0.225500000000,0.153500000000,0.131700000000,0.155100000000,0.152900000000,0.156400000000,0.149000000000,0.161800000000,0.227500000000,0.155500000000,0.134400000000,161.4304770839999
baseline,3,96.230769,14.538462,3.0,96.23,14.54,163.51803270399978,0,,0.140600000000,0.148900000000,0.146400000000,0.142600000000,0.144900000000,0.215800000000,0.154500000000,0.178000000000,0.146400000000,0.154100000000,0.152200000000,0.148500000000,0.150600000000,0.221200000000,0.159500000000,0.183000000000,0.140600000000,0.150400000000,0.145900000000,0.145500000000,0.148800000000,0.217400000000,0.152900000000,0.178900000000,0.134200000000,0.142800000000,0.138200000000,0.137600000000,0.140700000000,0.210100000000,0.144900000000,0.172300000000,0.134100000000,0.142600000000,0.139000000000,0.139400000000,0.142800000000,0.213500000000,0.148400000000,0.176800000000,0.506100000000,0.565400000000,0.592100000000,0.600700000000,0.621400000000,0.610600000000,0.600200000000,0.595900000000,0.152500000000,0.152000000000,0.154700000000,0.154200000000,0.157500000000,0.225900000000,0.153600000000,0.185200000000,0.156100000000,0.154500000000,0.157700000000,0.157300000000,0.160800000000,0.229300000000,0.156900000000,0.188200000000,163.5638072720003
contact,3,96.230769,14.538462,3.0,96.23,14.54,163.51803270399978,3.0908,174.43617175000054,0.140300000000,0.148300000000,0.146000000000,0.141800000000,0.144700000000,0.213900000000,0.153700000000,0.174900000000,0.146500000000,0.154100000000,0.152200000000,0.148100000000,0.151000000000,0.219700000000,0.159200000000,0.180600000000,0.139700000000,0.149300000000,0.144700000000,0.144100000000,0.148100000000,0.214700000000,0.151500000000,0.175100000000,0.134100000000,0.142500000000,0.138000000000,0.137000000000,0.140900000000,0.208100000000,0.144200000000,0.169000000000,0.131500000000,0.139600000000,0.134700000000,0.134200000000,0.138300000000,0.205900000000,0.142400000000,0.167700000000,0.158200000000,0.163800000000,0.160800000000,0.160400000000,0.164600000000,0.230800000000,0.165200000000,0.191600000000,0.152500000000,0.151400000000,0.154200000000,0.153100000000,0.157300000000,0.220900000000,0.152200000000,0.178800000000,0.154700000000,0.152800000000,0.156300000000,0.155000000000,0.159600000000,0.222900000000,0.154400000000,0.180600000000,175.481776136
baseline,4,63.410256,19.17094,4.0,63.41,19.17,179.52784492800038,0,,0.140300000000,0.148800000000,0.145700000000,0.143500000000,0.138500000000,0.412900000000,0.158700000000,0.175000000000,0.146500000000,0.154800000000,0.152100000000,0.149800000000,0.144700000000,0.419800000000,0.164200000000,0.180600000000,0.139900000000,0.150100000000,0.144800000000,0.145800000000,0.142000000000,0.417000000000,0.156600000000,0.175500000000,0.134900000000,0.143800000000,0.138700000000,0.139400000000,0.135300000000,0.411100000000,0.149900000000,0.170100000000,0.132000000000,0.140600000000,0.134900000000,0.136300000000,0.132400000000,0.409900000000,0.147900000000,0.168900000000,0.164100000000,0.171800000000,0.171200000000,0.172900000000,0.220800000000,0.492500000000,0.235200000000,0.258000000000,0.153300000000,0.152700000000,0.154700000000,0.155300000000,0.151700000000,0.428200000000,0.158400000000,0.181900000000,0.154500000000,0.153300000000,0.155900000000,0.156500000000,0.153000000000,0.430800000000,0.160100000000,0.183000000000,179.54151446000014
contact,4,63.410256,19.17094,4.0,63.41,19.17,179.52784492800038,4.0912,191.51138702800017,0.141800000000,0.151100000000,0.145300000000,0.148400000000,0.141600000000,0.245200000000,0.221000000000,0.174300000000,0.148100000000,0.156800000000,0.151400000000,0.154800000000,0.147900000000,0.250800000000,0.226200000000,0.180000000000,0.140800000000,0.151900000000,0.142900000000,0.151100000000,0.145200000000,0.246000000000,0.218000000000,0.174500000000,0.136100000000,0.145800000000,0.136200000000,0.144500000000,0.138600000000,0.240100000000,0.211600000000,0.169300000000,0.132700000000,0.142400000000,0.131600000000,0.141000000000,0.135400000000,0.237600000000,0.209000000000,0.167600000000,0.175000000000,0.182400000000,0.171600000000,0.183000000000,0.177300000000,0.278200000000,0.247300000000,0.207900000000,0.154500000000,0.155000000000,0.151800000000,0.161000000000,0.155200000000,0.255100000000,0.219800000000,0.180800000000,0.155700000000,0.155500000000,0.153200000000,0.162000000000,0.156400000000,0.256200000000,0.220900000000,0.182000000000,192.5249973760001
baseline,5,83.102564,19.376068,4.0,83.1,19.38,195.60125660799986,0,,0.140800000000,0.149400000000,0.149600000000,0.148100000000,0.140300000000,0.233500000000,0.219000000000,0.174000000000,0.147000000000,0.155200000000,0.155800000000,0.154500000000,0.146500000000,0.239000000000,0.224300000000,0.179500000000,0.140600000000,0.150400000000,0.149500000000,0.150500000000,0.143800000000,0.234600000000,0.216400000000,0.174100000000,0.136100000000,0.144600000000,0.144000000000,0.144700000000,0.137500000000,0.229100000000,0.210000000000,0.169100000000,0.133100000000,0.141500000000,0.140600000000,0.141500000000,0.134600000000,0.226900000000,0.207700000000,0.167900000000,0.207600000000,0.213700000000,0.214600000000,0.215900000000,0.209100000000,0.299600000000,0.278100000000,0.240400000000,0.154000000000,0.153000000000,0.159800000000,0.160200000000,0.153600000000,0.243500000000,0.217300000000,0.180300000000,0.154900000000,0.153200000000,0.160600000000,0.161000000000,0.154500000000,0.244400000000,0.218500000000,0.181200000000,195.65376938700047
contact,5,83.102564,19.376068,4.0,83.1,19.38,195.60125660799986,4.6495,207.5708147940004,0.139300000000,0.147600000000,0.148500000000,0.145600000000,0.115400000000,0.227500000000,0.216900000000,0.174200000000,0.145600000000,0.153500000000,0.154800000000,0.151800000000,0.121600000000,0.233100000000,0.222500000000,0.179800000000,0.139500000000,0.149200000000,0.147400000000,0.140100000000,0.107500000000,0.227900000000,0.215100000000,0.174500000000,0.134600000000,0.143200000000,0.141200000000,0.130800000000,0.096920000000,0.221700000000,0.208500000000,0.169300000000,0.130900000000,0.139400000000,0.136300000000,0.123600000000,0.088430000000,0.217800000000,0.205700000000,0.167000000000,0.151900000000,0.157900000000,0.155700000000,0.137200000000,0.099880000000,0.235100000000,0.222500000000,0.185200000000,0.152300000000,0.151400000000,0.156200000000,0.143000000000,0.108300000000,0.234300000000,0.215800000000,0.179900000000,0.153600000000,0.151900000000,0.157400000000,0.144800000000,0.110700000000,0.235800000000,0.217000000000,0.181000000000,208.63854420500047
baseline,6,78.179487,26.458689,1.0,78.18,26.46,210.85877709499982,0,,0.139800000000,0.148500000000,0.148600000000,0.155500000000,0.141100000000,0.220500000000,0.218100000000,0.173700000000,0.146200000000,0.154500000000,0.155000000000,0.162000000000,0.147600000000,0.226200000000,0.223500000000,0.179300000000,0.139600000000,0.149500000000,0.148200000000,0.158500000000,0.144800000000,0.221700000000,0.215300000000,0.173600000000,0.134800000000,0.143500000000,0.142500000000,0.152100000000,0.138700000000,0.216000000000,0.208800000000,0.168400000000,0.132000000000,0.140100000000,0.138600000000,0.148300000000,0.134500000000,0.213200000000,0.206000000000,0.167100000000,0.485900000000,0.560800000000,0.620200000000,0.664400000000,0.723900000000,0.741200000000,0.741200000000,0.739400000000,0.152500000000,0.151600000000,0.157900000000,0.166600000000,0.152900000000,0.229700000000,0.216000000000,0.179500000000,0.155200000000,0.153100000000,0.159900000000,0.168700000000,0.155200000000,0.231800000000,0.218300000000,0.181500000000,210.90239797699996
contact,6,78.179487,26.458689,1.0,78.18,26.46,210.85877709499982,1.0124,221.11800396000035,0.140000000000,0.148100000000,0.149000000000,0.159700000000,0.141300000000,0.216000000000,0.217700000000,0.172500000000,0.146300000000,0.153900000000,0.155300000000,0.166100000000,0.147600000000,0.221800000000,0.223100000000,0.178000000000,0.139700000000,0.149100000000,0.148900000000,0.161000000000,0.143700000000,0.217000000000,0.214800000000,0.172300000000,0.135200000000,0.143200000000,0.143300000000,0.155300000000,0.137800000000,0.211600000000,0.208600000000,0.167500000000,0.132200000000,0.140200000000,0.139800000000,0.151800000000,0.134400000000,0.209400000000,0.206600000000,0.166100000000,0.298900000000,0.333200000000,0.371600000000,0.442900000000,0.484200000000,0.592700000000,0.593500000000,0.573700000000,0.153400000000,0.151800000000,0.158900000000,0.170000000000,0.152500000000,0.225900000000,0.216000000000,0.178900000000,0.155200000000,0.153000000000,0.160600000000,0.171600000000,0.154200000000,0.227700000000,0.218000000000,0.180500000000,222.15499307499977
baseline,7,89.666667,26.259259,2.0,89.67,26.26,224.5512971500002,0,,0.139900000000,0.147900000000,0.148100000000,0.157900000000,0.138500000000,0.216000000000,0.217700000000,0.172700000000,0.146300000000,0.153800000000,0.154400000000,0.164300000000,0.144800000000,0.221800000000,0.223100000000,0.178400000000,0.139800000000,0.148900000000,0.147800000000,0.160600000000,0.141900000000,0.216800000000,0.214700000000,0.172600000000,0.134400000000,0.142300000000,0.141400000000,0.153100000000,0.134500000000,0.210500000000,0.207700000000,0.166900000000,0.131600000000,0.139300000000,0.137800000000,0.149600000000,0.131100000000,0.208200000000,0.205400000000,0.165500000000,0.153600000000,0.158600000000,0.158400000000,0.169600000000,0.150600000000,0.226600000000,0.221100000000,0.183000000000,0.152800000000,0.151300000000,0.157400000000,0.168100000000,0.149700000000,0.225200000000,0.215600000000,0.178600000000,0.154600000000,0.152400000000,0.159100000000,0.169800000000,0.151500000000,0.227000000000,0.217600000000,0.180400000000,224.55145808100042
contact,7,89.666667,26.259259,2.0,89.67,26.26,224.5512971500002,2.4282,236.70784457900027,0.139600000000,0.147500000000,0.147100000000,0.159600000000,0.139000000000,0.213700000000,0.217400000000,0.174900000000,0.145900000000,0.153200000000,0.153300000000,0.165800000000,0.145100000000,0.219600000000,0.222900000000,0.180400000000,0.138900000000,0.148100000000,0.146300000000,0.162000000000,0.142100000000,0.215500000000,0.215000000000,0.176400000000,0.134300000000,0.142200000000,0.140700000000,0.155700000000,0.136000000000,0.211200000000,0.208600000000,0.171700000000,0.130300000000,0.138200000000,0.136200000000,0.151500000000,0.131700000000,0.208100000000,0.205300000000,0.169200000000,0.149200000000,0.154600000000,0.154300000000,0.169400000000,0.149500000000,0.225100000000,0.220100000000,0.185900000000,0.152400000000,0.151200000000,0.156600000000,0.170400000000,0.150600000000,0.224700000000,0.215900000000,0.182400000000,0.153800000000,0.151800000000,0.157700000000,0.171600000000,0.151800000000,0.225900000000,0.217300000000,0.183600000000,237.7339827730002
baseline,8,83.102564,24.623932,3.0,83.1,24.62,239.81752158400013,0,,0.140100000000,0.147800000000,0.147200000000,0.159400000000,0.137700000000,0.221500000000,0.217500000000,0.174200000000,0.146500000000,0.153800000000,0.153700000000,0.165600000000,0.144100000000,0.227400000000,0.222900000000,0.179900000000,0.140000000000,0.149300000000,0.147200000000,0.162100000000,0.141300000000,0.224600000000,0.215900000000,0.175800000000,0.135400000000,0.143600000000,0.141700000000,0.155800000000,0.135000000000,0.219300000000,0.209400000000,0.171000000000,0.132600000000,0.140500000000,0.138300000000,0.152400000000,0.131600000000,0.217100000000,0.207300000000,0.169800000000,0.328100000000,0.269300000000,0.177400000000,0.230600000000,0.313200000000,0.447600000000,0.548600000000,0.283000000000,0.152700000000,0.151200000000,0.156500000000,0.169700000000,0.148900000000,0.231400000000,0.215500000000,0.181000000000,0.154900000000,0.152700000000,0.158600000000,0.171800000000,0.150900000000,0.233600000000,0.217900000000,0.182700000000,239.86505281800055
